               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.021764,            0.015982,            0.021913,                   0,                   0,                   0,                   0,                   0,           0.0044852,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.021858,            0.016094,            0.022677,                   0,                   0,                   0,                   0,                   0,           0.0044868,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.021769,            0.016034,            0.021834,                   0,                   0,                   0,                   0,                   0,           0.0044871,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.021814,            0.016099,             0.02188,                   0,                   0,                   0,                   0,                   0,           0.0044839,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.021685,            0.015957,            0.021816,                   0,                   0,                   0,                   0,                   0,           0.0044819,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.021752,            0.015991,            0.021807,                   0,                   0,                   0,                   0,                   0,           0.0044819,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.021706,            0.015922,             0.02166,                   0,                   0,                   0,                   0,                   0,           0.0044817,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.021605,            0.016044,            0.021516,                   0,                   0,                   0,                   0,                   0,           0.0044801,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.021785,            0.016104,            0.021699,                   0,                   0,                   0,                   0,                   0,           0.0044772,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.021402,            0.015847,            0.021408,                   0,                   0,                   0,                   0,                   0,           0.0044759,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.021679,            0.016088,            0.021754,                   0,                   0,                   0,                   0,                   0,           0.0044754,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.021353,            0.015905,            0.021442,                   0,                   0,                   0,                   0,                   0,           0.0044776,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.021441,            0.015917,            0.021563,                   0,                   0,                   0,                   0,                   0,            0.004481,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.021619,             0.01604,             0.02157,                   0,                   0,                   0,                   0,                   0,           0.0044832,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.021586,            0.015929,            0.021246,                   0,                   0,                   0,                   0,                   0,           0.0044834,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.021447,            0.015972,            0.020973,                   0,                   0,                   0,                   0,                   0,           0.0044854,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.021302,            0.015799,            0.021195,                   0,                   0,                   0,                   0,                   0,           0.0044837,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.021614,            0.016141,            0.021318,                   0,                   0,                   0,                   0,                   0,           0.0044846,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.021515,            0.015945,            0.020863,                   0,                   0,                   0,                   0,                   0,           0.0044884,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.021462,            0.015806,            0.020912,                   0,                   0,                   0,                   0,                   0,           0.0044899,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.021491,             0.01585,            0.020932,                   0,                   0,                   0,                   0,                   0,           0.0044918,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.021541,            0.015968,            0.020977,                   0,                   0,                   0,                   0,                   0,            0.004492,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.021362,            0.015898,            0.021071,                   0,                   0,                   0,                   0,                   0,           0.0044936,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.021494,            0.016045,             0.02094,                   0,                   0,                   0,                   0,                   0,           0.0044972,                   0,            0.004819,            0.004819,            0.004819
                 159,             0.02126,            0.015741,            0.020478,                   0,                   0,                   0,                   0,                   0,           0.0044982,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.021167,            0.015823,            0.021139,                   0,                   0,                   0,                   0,                   0,            0.004498,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.021323,             0.01586,            0.020686,                   0,                   0,                   0,                   0,                   0,           0.0044985,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.021309,            0.015773,            0.020703,                   0,                   0,                   0,                   0,                   0,           0.0044976,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.021229,            0.015811,            0.020521,                   0,                   0,                   0,                   0,                   0,           0.0044973,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.021332,            0.015867,            0.020481,                   0,                   0,                   0,                   0,                   0,           0.0044953,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.021325,            0.015904,            0.020455,                   0,                   0,                   0,                   0,                   0,           0.0044932,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.021132,            0.015836,            0.020379,                   0,                   0,                   0,                   0,                   0,           0.0044931,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.021141,            0.015802,            0.020358,                   0,                   0,                   0,                   0,                   0,           0.0044915,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.021107,            0.015656,            0.020236,                   0,                   0,                   0,                   0,                   0,            0.004492,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.021079,            0.015832,            0.020011,                   0,                   0,                   0,                   0,                   0,           0.0044904,                   0,            0.004456,            0.004456,            0.004456
                 170,             0.02119,             0.01577,            0.020119,                   0,                   0,                   0,                   0,                   0,           0.0044921,                   0,            0.004423,            0.004423,            0.004423
                 171,             0.02115,            0.015722,             0.02019,                   0,                   0,                   0,                   0,                   0,           0.0044965,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.020944,            0.015798,            0.019774,                   0,                   0,                   0,                   0,                   0,           0.0044985,                   0,            0.004357,            0.004357,            0.004357
                 173,             0.02105,            0.015808,            0.019837,                   0,                   0,                   0,                   0,                   0,           0.0044958,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.020964,            0.015711,            0.019954,                   0,                   0,                   0,                   0,                   0,           0.0044936,                   0,            0.004291,            0.004291,            0.004291
                 175,             0.02106,            0.015777,            0.019676,                   0,                   0,                   0,                   0,                   0,           0.0044943,                   0,            0.004258,            0.004258,            0.004258
                 176,            0.021018,            0.015652,             0.02007,                   0,                   0,                   0,                   0,                   0,           0.0044948,                   0,            0.004225,            0.004225,            0.004225
                 177,            0.020916,             0.01576,            0.019827,                   0,                   0,                   0,                   0,                   0,           0.0044941,                   0,            0.004192,            0.004192,            0.004192
                 178,            0.021066,            0.015769,            0.020016,                   0,                   0,                   0,                   0,                   0,           0.0044958,                   0,            0.004159,            0.004159,            0.004159
                 179,            0.021092,            0.015801,            0.019716,                   0,                   0,                   0,                   0,                   0,           0.0044992,                   0,            0.004126,            0.004126,            0.004126
                 180,            0.020781,            0.015731,            0.019678,                   0,                   0,                   0,                   0,                   0,            0.004497,                   0,            0.004093,            0.004093,            0.004093
                 181,            0.021045,            0.015778,            0.019426,                   0,                   0,                   0,                   0,                   0,            0.004496,                   0,             0.00406,             0.00406,             0.00406
                 182,            0.020938,            0.015754,            0.019696,                   0,                   0,                   0,                   0,                   0,           0.0044986,                   0,            0.004027,            0.004027,            0.004027
                 183,            0.020828,             0.01572,            0.019583,                   0,                   0,                   0,                   0,                   0,           0.0045005,                   0,            0.003994,            0.003994,            0.003994
                 184,            0.020674,            0.015586,            0.019303,                   0,                   0,                   0,                   0,                   0,              0.0045,                   0,            0.003961,            0.003961,            0.003961
                 185,            0.020965,            0.015665,            0.019426,                   0,                   0,                   0,                   0,                   0,           0.0045017,                   0,            0.003928,            0.003928,            0.003928
                 186,            0.020854,            0.015643,            0.019458,                   0,                   0,                   0,                   0,                   0,           0.0045029,                   0,            0.003895,            0.003895,            0.003895
                 187,            0.020764,            0.015607,            0.019355,                   0,                   0,                   0,                   0,                   0,           0.0045033,                   0,            0.003862,            0.003862,            0.003862
                 188,            0.020748,             0.01553,             0.01897,                   0,                   0,                   0,                   0,                   0,           0.0045029,                   0,            0.003829,            0.003829,            0.003829
                 189,            0.020712,            0.015504,            0.018939,                   0,                   0,                   0,                   0,                   0,           0.0045005,                   0,            0.003796,            0.003796,            0.003796
